Hour;Min;Sec;Bx1;By1;Bz1;Bx2;By2;Bz2
11;30;32;-1.78389375;12.17260703;9.930421289;6.487004688;7.292724219;-13.76343857
11;30;42;-1.905524609;-4.784985742;-14.13173691;-11.5143625;7.536718359;11.40361465
11;30;48;-9.203376172;-12.10480996;2.441688379;-19.2987375;-1.369067773;-8.607261816
11;30;54;-0.932477734;3.510815039;10.9125502;-2.148786328;8.146703711;-14.99109971
11;31;0;2.838078906;8.268700781;-7.747899023;1.986662891;13.39257773;6.247437891
11;31;6;-8.351960156;-7.102930078;-16.34152695;-14.19024141;-0.14909707;12.75404189
11;31;12;-9.56826875;-11.98281289;2.932752832;-19.17710664;-1.613061914;-9.09832627
11;31;22;2.229924609;12.66059531;-6.029173438;6.122112109;12.66059531;4.405946191
11;31;28;4.013818359;12.62669678;-4.064915625;-7.865436719;1.680858984;16.43702529
11;31;34;-5.797712109;-12.59279824;-2.100657813;-19.9068918;2.656835547;-3.328318945
11;31;40;0.648723438;6.560741797;9.439356836;1.013616016;9.976659766;-13.27237412
11;31;46;-3.243464063;19.00444297;-8.36172959;12.08202422;6.438744727;5.756373438
11;31;52;-3.973249219;-0.881079492;-18.06025254;-7.743805859;5.096776953;14.84106582
11;32;2;-2.635309766;5.340771094;12.38574355;-0.202692578;6.072753516;-16.83259141
11;32;8;-4.946296094;21.3223873;-1.977891699;14.87953398;4.364794531;-0.750230566
11;32;14;-1.297370313;3.99880332;-16.83259141;-2.878571484;8.146703711;14.47276748
11;32;20;-3.486725781;-11.1288334;0.845728906;-18.20405977;5.462768164;-6.029173438
11;32;26;-5.67608125;7.170727148;13.49063857;1.621770313;2.534838477;-18.30578477
11;32;32;-0.324323438;17.90646934;-3.573851172;11.35223906;9.732665625;1.336793359
11;32;42;-9.689899609;-13.32478066;-5.292576758;-20.75830781;-1.491064844;-0.259166113
11;32;48;-6.892389844;-0.515088281;12.87680801;-6.527497266;0.948876563;-18.42855088
11;32;54;2.716448047;13.02658652;0.477430566;6.730266406;13.02658652;-2.346190039
11;33;0;-5.067926953;0.09489707;-18.91961533;-6.770758984;3.87680625;16.43702529
11;33;6;-14.31187227;-12.95878945;-4.064915625;-20.39341523;-6.858935938;-2.468956152
11;33;12;-9.933161328;10.00375977;-11.79918076;-5.919342969;5.950756445;-15.97322861
11;33;22;-5.554450391;7.048730078;-19.5334459;0.040569141;3.510815039;16.92808975
11;33;28;-11.27110078;-12.59279824;-9.957689063;-20.15015352;-3.321020898;4.037647852
11;33;34;-6.770758984;16.28660889;-4.985661475;-8.351960156;6.316747656;-15.72769639
11;33;40;-2.270417188;19.98041953;-0.013633887;13.54159453;7.414721289;-2.837254492
11;33;46;-7.135651563;7.170727148;-20.39280869;0.040569141;1.680858984;17.4191542
11;33;52;-6.953205273;13.88056602;13.01320801;-19.54199922;4.852782813;0.722962793
11;34;2;-6.770758984;20.59040488;5.633607324;14.27137969;1.924853125;-9.834922949
11;34;8;-4.824665234;12.90458945;-17.56918809;6.00048125;4.608788672;14.84106582
11;34;14;-3.121833203;-11.1288334;-8.36172959;-18.44732148;5.950756445;3.792115625
11;34;20;-7.500544141;-1.125073633;13.49063857;-7.014020703;0.216894141;-19.41067979
11;34;26;-4.824665234;20.95639609;3.669349512;14.51464141;4.486791602;-6.88853623
11;34;32;-1.662262891;6.194750586;-17.56918809;-0.324323438;7.90270957;15.33213027
11;34;42;-11.75762422;-6.858935938;10.54425186;-13.33882539;-4.418994531;-17.20088975
11;34;48;-0.567585156;14.49055137;8.702760156;8.433098438;9.122680273;-11.92194688
11;34;54;-1.054108594;8.390697852;-16.58705918;1.500139453;8.512694922;14.71829971
11;35;0;-15.28491914;-11.00683633;-12.78130967;-18.6905832;-7.95690957;7.106800684
11;35;6;-9.689899609;-5.760962305;11.40361465;-12.1225168;-1.979053125;-17.6919542
11;35;12;2.473186328;14.24655723;4.037647852;8.189836719;12.53859824;-6.397471777
11;35;22;5.169311523;12.3217041;5.940522607;-15.40655;-6.614941797;12.50850967
11;35;28;-7.865436719;-10.39685098;7.843397363;-17.23101289;0.216894141;-13.88620469
11;35;34;-1.054108594;16.32050742;8.45722793;10.37919219;8.024706641;-12.04471299
11;35;40;-7.865436719;16.32050742;-17.56918809;9.041252734;1.070873633;14.59553359
11;35;46;-8.108698438;-10.76284219;-15.11386582;-18.32569063;0.338891211;10.29871963
11;35;52;-8.291144727;15.85961914;-14.07035386;-11.63599336;3.99880332;-17.44642197
11;36;2;-8.473591016;20.95639609;-13.02684189;13.90648711;0.460888281;10.0531874
11;36;8;-4.459772656;-6.492944727;-17.56918809;-13.94697969;4.608788672;13.85893691
11;36;14;-7.500544141;-9.908862695;9.439356836;-16.37959688;0.460888281;-15.60493027
11;36;20;-8.960114453;18.15046348;11.28084854;12.20365508;-0.759082422;-15.97322861
11;36;26;-3.243464063;17.05248984;-14.99109971;10.01429961;6.316747656;12.63127578
11;36;32;-8.351960156;-11.61682168;-15.23663193;-18.81221406;0.09489707;10.78978408
11;36;42;-6.405866406;11.44062461;14.71829971;5.635588672;2.046850195;-19.5334459
11;36;48;0.891985156;17.05248984;-9.957689063;10.37919219;11.0746334;8.211695703
11;36;54;-12.73067109;-6.004956445;-20.5155748;-13.33882539;-5.150976953;16.43702529
11;37;0;-16.98775117;-10.64084512;6.370204004;-17.71753633;-10.03085977;-13.76343857
11;37;6;-0.567585156;11.19663047;12.75404189;5.513957813;9.000683203;-16.58705918
11;37;12;-2.148786328;16.44250449;-15.35939805;9.527776172;7.7807125;13.49063857
11;37;22;-15.04165742;-14.66674844;0.96849502;-22.33950898;-7.95690957;-7.870665137
11;37;28;-2.270417188;8.268700781;15.08659805;2.716448047;6.682738867;-19.5334459
11;37;34;-6.162604688;23.64033164;-9.957689063;16.70399688;3.144823828;7.229566797
11;37;40;-12.36577852;-3.687012109;-22.97089707;-11.14946992;-4.418994531;18.64681533
11;37;46;-7.257282422;-14.66674844;5.142542871;-21.48809297;1.070873633;-11.1853502
11;37;52;-7.865436719;15.34453086;15.08659805;9.649407031;0.338891211;-20.02451035
11;38;2;-7.865436719;2.168847266;-24.32132432;-5.067926953;0.826879492;20.97937148
11;38;8;-7.014020703;-16.49670449;0.477430566;-23.67744844;1.192870703;-6.151939551
11;38;14;-11.63599336;9.732665625;17.05085586;4.0543875;-4.418994531;-22.97089707
11;38;20;-7.500544141;25.71428184;-8.116197363;18.77172148;1.314867773;5.019776758
11;38;26;-6.527497266;-3.565015039;-22.97089707;-10.66294648;2.168847266;19.87447646
11;38;32;-15.64981172;-15.03273965;3.669349512;-22.33950898;-8.932886133;-10.57151963
11;38;42;-0.810846875;24.25031699;-0.259166113;17.43378203;9.122680273;-2.100657813
11;38;48;-8.108698438;3.266820898;-25.18068711;-4.094880078;0.582885352;22.32979873
11;38;54;-21.85298555;-13.32478066;-3.696617285;-21.24483125;-15.642725;-3.696617285
11;39;0;-7.622175;5.706762305;18.27851699;0.040569141;0.338891211;-23.83025986
11;39;6;1.500139453;22.42036094;-5.415342871;15.73095;11.68461875;3.423817285
11;39;12;5.442980957;18.42495688;9.551882251;-4.946296094;-7.8349125;21.71596816
11;39;22;-9.385822461;14.42955283;13.68842163;-7.257282422;0.09489707;-24.07579209
11;39;28;-3.365094922;26.44626426;1.705091699;20.2312918;6.072753516;-4.678746191
11;39;34;-14.7983957;8.756689063;-26.0400499;1.135246875;-7.102930078;22.20703262
11;39;40;-13.09556367;-19.05864297;-5.783641211;-26.83985078;-5.516968164;-0.50469834
11;39;46;-7.987067578;3.632812109;19.99724258;-1.662262891;-0.271094141;-25.54898545
11;39;52;-8.351960156;10.97973633;16.1437439;21.81249297;-5.272974023;-0.87299668
11;40;2;-8.716852734;-18.32666055;-12.29024521;-25.98843477;-0.393091211;7.106800684
11;40;8;-12.85230195;-3.321020898;18.40128311;-9.081745313;-6.004956445;-25.18068711
11;40;14;-13.94697969;28.52021445;2.687220605;21.81249297;-5.882959375;-7.134068457
11;40;20;-7.865436719;9.366674414;-26.8994127;2.10829375;1.070873633;24.04852432
11;40;26;-15.16328828;-19.42463418;-8.73002793;-27.0831125;-7.95690957;2.687220605
11;40;32;-16.98775117;3.99880332;18.64681533;-1.905524609;-10.64084512;-25.79451768
11;40;42;-4.581403516;16.19851035;-23.70749375;8.919621875;4.852782813;21.47043594
11;40;48;-22.5827707;-12.10480996;-17.20088975;-20.27178438;-16.25271035;10.9125502
11;40;54;-18.44732148;-1.613061914;17.54192031;-7.865436719;-12.10480996;-25.18068711
11;41;0;0.527092578;24.98229941;7.843397363;19.0149832;10.46464805;-10.93981797
11;41;6;-10.29805391;15.46652793;-26.28558213;8.068205859;-1.857056055;23.55745986
11;41;12;-26.35332734;-12.22680703;-11.1853502;-20.63667695;-20.64460488;3.423817285
11;41;22;-3.121833203;23.03034629;14.71829971;17.43378203;6.072753516;-18.79684922
11;41;28;-13.70371797;23.3963375;-21.62046982;15.85258086;-5.516968164;18.15575088
11;41;34;-20.87993867;-14.78874551;-18.55131699;-22.94766328;-14.4227543;12.14021133
11;41;40;-17.47427461;21.22749023;14.85469971;-16.37959688;-4.906982813;-25.18068711
11;41;46;-14.06861055;27.66623496;11.15808242;21.20433867;-6.614941797;-16.34152695
11;41;52;-17.83916719;16.32050742;-26.77664658;8.676360156;-10.27485391;22.45256484
11;42;2;-18.56895234;19.24843711;20.74747314;-23.67744844;-7.102930078;-19.41067979
11;42;8;-19.2987375;22.1763668;14.71829971;16.09584258;-12.71479531;-21.25217148
11;42;14;-13.94697969;23.64033164;-23.33919541;15.97421172;-5.638965234;19.99724258
11;42;20;-14.55513398;-15.88671914;-23.2164293;-23.67744844;-6.980933008;18.03298477
11;42;26;-22.94766328;-10.15285684;13.61340469;-16.86612031;-17.35068398;-21.86600205
11;42;32;-12.97393281;29.25219688;11.15808242;22.9071707;-5.150976953;-16.34152695
11;42;42;-19.42036836;-4.175000391;-29.47750107;-12.1225168;-12.59279824;24.53958877
11;42;48;-28.54268281;-8.810889063;7.72063125;-1.540632031;-23.4505375;-16.83259141
11;42;54;-7.500544141;22.78635215;19.38341201;16.94725859;0.826879492;-24.32132432
11;43;0;-5.067926953;28.39821738;-18.42855088;21.08270781;4.486791602;16.06872695
11;43;6;-28.05615938;-2.101050195;-24.44409043;-10.41968477;-22.47456094;17.78745254
11;43;12;-19.17710664;18.17756348;-16.77120835;-15.16328828;-18.32666055;-24.07579209
11;43;22;-10.29805391;34.25407676;-9.09832627;27.4075125;-1.613061914;6.001905664
11;43;28;-26.4749582;-0.14909707;-27.75877549;-8.351960156;-20.52260781;21.71596816
11;43;34;-20.75830781;-19.79062539;8.334461816;-27.0831125;-14.78874551;-16.21876084
11;43;40;-15.04165742;17.54047813;23.18916152;11.8387625;-8.078906641;-29.7230333
11;43;46;-22.70440156;29.49619102;-15.60493027;21.81249297;-15.642725;10.66701797
11;43;52;-20.15015352;-12.22680703;-28.12707383;-20.27178438;-13.32478066;22.45256484
11;44;2;-22.5827707;7.292724219;22.20703262;1.743401172;-16.98469277;-29.84579941
11;44;8;-22.70440156;31.93613242;-11.43088242;24.36674102;-15.88671914;6.247437891
11;44;14;-17.10938203;-3.321020898;-33.52878281;-11.27110078;-9.664868555;29.20470107
11;44;20;-25.01538789;-21.62058145;0.109132227;-29.15083711;-19.54663125;-8.36172959
11;44;26;-24.28560273;18.76044883;18.15575088;12.32528594;-18.69265176;-25.91728379
11;44;32;-11.87925508;34.4980709;-15.97322861;27.04261992;-3.321020898;12.38574355
11;44;42;-33.40791719;-12.10480996;-9.466624609;-20.63667695;-29.06240273;0.477430566
